User_ID,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid,Subscription_Status
eb4f9229-74df-45f6-baac-cf19241b8b30,3/14/2023,5/23/2024,$0.00,,FALSE,Freemium
661d4b59-4328-410a-901c-1e3b4c40c334,1/5/2024,,$0.00,,FALSE,Freemium
dd3fe9e9-ea82-4891-ab93-8a47c80e3251,3/2/2023,,$15.00,Monthly,TRUE,Premium
a1b3365b-1d00-4ddf-bc43-02fc9c10c680,1/8/2022,,$0.00,,FALSE,Freemium
338d3f91-5f1c-4590-8803-324901826406,3/25/2023,9/15/2023,$0.00,,FALSE,Freemium
076b03f1-fd5b-4abe-b22e-cf3b4fdad381,3/9/2024,8/10/2024,$15.00,Monthly,TRUE,Premium
91d4aa91-da98-4ced-851d-c5c0194c63c4,8/16/2023,,$0.00,,FALSE,Freemium
e707ea19-8d7e-476e-9bf8-c379f01f79da,5/14/2024,,$0.00,,FALSE,Freemium
063c3c57-ea7e-42d2-ba7c-f0d35896e2da,4/15/2023,,$0.00,,FALSE,Freemium
b82ccd39-0040-4be9-a969-78b40d4c0c97,10/23/2022,,$15.00,Monthly,TRUE,Premium
fe6d5e8e-322f-479c-8589-89b6ad16d3c4,6/24/2023,7/13/2024,$120.00,Yearly,TRUE,Premium
06d62f0f-0a02-4fdf-9265-4929e04195a6,4/25/2024,5/14/2024,$0.00,,FALSE,Freemium
9889854c-128c-4df5-93ca-f1a158a72590,1/12/2024,4/11/2024,$15.00,Monthly,TRUE,Premium
8e1009be-0392-42dc-a155-44357c10aa43,5/10/2024,,$120.00,Yearly,TRUE,Premium
383b47f5-10f9-48b3-bf77-314251e75a11,3/31/2023,7/4/2024,$120.00,Yearly,TRUE,Premium
b2692d21-6164-4fa8-bf2a-72537380e46a,4/17/2024,5/20/2024,$0.00,,FALSE,Freemium
26aa455e-a7f0-4f85-b7e5-e85af18bca3a,7/23/2022,,$0.00,,FALSE,Freemium
58cc2409-e8d8-4221-b313-125b277741aa,4/9/2024,8/20/2024,$0.00,,FALSE,Freemium
aa08b476-c42a-4323-8357-a027caaaaca2,8/3/2024,,$120.00,Yearly,TRUE,Premium
91da06f5-8529-47d0-8317-fd7a79dae826,2/9/2022,,$0.00,,FALSE,Freemium
d1c113dc-cee2-4c56-ae62-ab274b4fd866,6/18/2023,,$0.00,,FALSE,Freemium
b2b81237-52e5-400a-a5f8-2bdb77b0d75e,7/26/2023,,$0.00,,FALSE,Freemium
08787fd5-e84f-4008-b57c-00e4a1099f69,5/12/2024,7/12/2024,$0.00,,FALSE,Freemium
c60fef9f-b84f-43fd-be6f-1b8b63a016d7,12/4/2022,2/8/2024,$120.00,Yearly,TRUE,Premium
bcbcf395-228a-49c2-bcfc-ec544ce5ddf4,10/8/2022,2/23/2024,$0.00,,FALSE,Freemium
f61990bf-2466-439e-bf98-5ee3af5ecfc5,8/5/2023,,$15.00,Monthly,TRUE,Premium
20c0b7a3-2051-4b7d-9c42-fd924069bbc6,8/7/2022,,$15.00,Monthly,TRUE,Premium
0fddc85a-b03e-48e5-a283-f35416ed5ddf,1/11/2023,,$120.00,Yearly,TRUE,Premium
9fb0fd9e-5aae-41e7-8d1b-03fa59bbfc27,7/30/2024,,$120.00,Yearly,TRUE,Premium
8b7c6411-841a-440e-9d83-0e27511bb2c5,1/26/2023,,$15.00,Monthly,TRUE,Premium
3295f854-c5df-4c21-bb76-82be76d395f5,12/6/2023,,$15.00,Monthly,TRUE,Premium
06135006-df65-42b3-aa74-4551dda9d970,6/10/2023,,$0.00,,FALSE,Freemium
420c3dcd-efaa-4a65-bef9-ae5b4bda4e7a,5/20/2024,7/30/2024,$15.00,Monthly,TRUE,Premium
8994f7ae-93ab-4bf4-b356-59388c50c21a,7/6/2023,12/30/2023,$15.00,Monthly,TRUE,Premium
dc262390-19fe-4bc9-bc28-6f92ca28281b,2/21/2024,6/1/2024,$15.00,Monthly,TRUE,Premium
